Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/08 7:50:55 PM GMT+5:30,65,Prefer not to say,Less than once a month,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,No,2,Sometimes,4,4,Competitive prices,better app interface and lower shipping charges,778242
2023/06/09 9:37:44 AM GMT+5:30,20,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,First page,3,No,Never,High shipping costs,Always,Yes,Heavily,Yes,1,Sometimes,4,5,Quick delivery,Scrolling option would be much better than going to next page,193482
2023/06/11 11:26:54 PM GMT+5:30,42,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Keyword,Multiple pages,2,No,Rarely,Found a better price elsewhere,Often,Yes,Heavily,Sometimes,5,No,5,3,All the above,Nil,925975
2023/06/08 5:17:10 PM GMT+5:30,65,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,2,Yes,Sometimes,others,Often,Yes,Occasionally,No,3,Yes,1,2,Quick delivery,Quality of product is very poor according to the big offers,566872
2023/06/11 10:59:30 PM GMT+5:30,45,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,nan,First page,5,Maybe,Rarely,Changed my mind or no longer need the item,Never,Yes,Rarely,No,2,Yes,1,2,Quick delivery,Irrelevant product suggestions,683642
2023/06/07 9:18:55 PM GMT+5:30,67,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Multiple times a day,nan,Multiple pages,3,No,Always,others,Never,No,Moderately,Sometimes,4,No,4,3,Product recommendations,Nothing,461923
2023/06/08 7:46:31 PM GMT+5:30,55,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a week,Keyword,First page,5,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Moderately,No,1,Yes,5,3,Customer service ,Customer service responsiveness,521643
2023/06/06 7:02:21 PM GMT+5:30,44,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,nan,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,2,Sometimes,5,1,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,155589
2023/06/07 11:07:55 PM GMT+5:30,33,Male,Less than once a month,Beauty and Personal Care;others,Yes,Rarely,nan,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Sometimes,1,Sometimes,2,2,Competitive prices,Quality of product is very poor according to the big offers,860726
2023/06/05 4:50:44 PM GMT+5:30,22,Others,Few times a month,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Filter,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,2,Yes,1,3,All the above,I don't have any problem with Amazon,745946
2023/06/06 6:38:03 PM GMT+5:30,28,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,others,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,1,Yes,4,5,All the above,UI,882918
2023/06/08 5:38:01 PM GMT+5:30,44,Prefer not to say,Multiple times a week,Groceries and Gourmet Food,Sometimes,Multiple times a day,Keyword,First page,5,Yes,Always,others,Often,Yes,Occasionally,Yes,5,Yes,4,3,User-friendly website/app interface,Shipping speed and reliability,911442
2023/06/05 8:07:52 PM GMT+5:30,24,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Filter,First page,4,No,Always,others,Rarely,Yes,Moderately,Yes,4,Yes,5,3,Competitive prices,Add more familiar brands to the list,403975
2023/06/07 5:58:12 PM GMT+5:30,23,Male,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,First page,5,Maybe,Always,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,1,Sometimes,5,1,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,681181
2023/06/08 5:43:45 PM GMT+5:30,58,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,First page,5,Maybe,Never,High shipping costs,Often,Yes,Never,Yes,3,No,3,1,Quick delivery,Shipping speed and reliability,921065
2023/06/05 1:37:01 PM GMT+5:30,40,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple times a day,Keyword,First page,3,No,Never,Found a better price elsewhere,Never,No,Never,No,4,No,2,2,Customer service ,Quality of product is very poor according to the big offers,335642
2023/06/07 12:44:27 PM GMT+5:30,46,Prefer not to say,Once a week,Groceries and Gourmet Food,Yes,Rarely,categories,First page,2,Yes,Always,High shipping costs,Sometimes,No,Rarely,Sometimes,2,Sometimes,5,2,Wide product selection,User interface ,348266
2023/06/08 5:48:55 PM GMT+5:30,15,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,2,Maybe,Often,others,Often,Yes,Never,No,2,Yes,2,2,Quick delivery,Reducing packaging waste,661105
2023/06/09 3:17:31 PM GMT+5:30,41,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,categories,First page,4,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Never,Sometimes,4,Sometimes,4,2,All the above,Nil,498142
2023/06/06 7:08:47 PM GMT+5:30,28,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,Keyword,First page,5,Yes,Sometimes,High shipping costs,Sometimes,No,Moderately,Sometimes,3,Yes,5,2,All the above,Nothing,908063
2023/06/12 3:27:59 PM GMT+5:30,47,Others,Few times a month,others,Sometimes,Rarely,nan,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,1,No,5,2,Competitive prices,UI,759344
2023/06/07 5:58:12 PM GMT+5:30,8,Others,Once a month,Clothing and Fashion;others,Sometimes,Few times a month,categories,First page,1,Yes,Never,Found a better price elsewhere,Never,No,Occasionally,Sometimes,1,No,1,3,User-friendly website/app interface,Reducing packaging waste,123738
2023/06/07 10:57:14 AM GMT+5:30,43,Prefer not to say,Multiple times a week,Home and Kitchen,No,Rarely,Keyword,First page,3,Yes,Rarely,High shipping costs,Always,No,Rarely,Sometimes,2,No,3,5,All the above,Nil,885971
2023/06/04 7:13:12 PM GMT+5:30,43,Male,Less than once a month,others,Yes,Multiple times a day,Filter,Multiple pages,4,No,Sometimes,Found a better price elsewhere,Always,No,Moderately,No,1,Yes,5,2,User-friendly website/app interface,Customer service responsiveness,566930
2023/06/07 6:17:42 PM GMT+5:30,23,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,others,Multiple pages,2,Yes,Never,High shipping costs,Sometimes,Yes,Never,No,1,Sometimes,3,1,Wide product selection,Quality of product is very poor according to the big offers,776650
2023/06/06 6:34:44 PM GMT+5:30,19,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,others,First page,2,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Heavily,No,2,No,3,2,All the above,Nil,837776
2023/06/05 11:20:41 AM GMT+5:30,40,Female,Once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,Filter,First page,2,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,3,Yes,3,3,Quick delivery,better app interface and lower shipping charges,269515
2023/06/05 9:56:02 PM GMT+5:30,9,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple pages,3,No,Never,others,Rarely,Yes,Never,Sometimes,3,Yes,3,4,.,No problems with Amazon,705210
2023/06/09 2:34:43 PM GMT+5:30,60,Others,Once a week,Clothing and Fashion;others,Sometimes,Multiple times a day,others,First page,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,No,5,No,3,3,All the above,Reducing packaging waste,996742
2023/06/07 4:46:12 PM GMT+5:30,18,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Filter,First page,4,Yes,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,Yes,4,Yes,5,5,Customer service,Shipping speed and reliability,202745
2023/06/05 9:56:58 AM GMT+5:30,5,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,nan,Multiple pages,3,Maybe,Always,High shipping costs,Rarely,Yes,Rarely,No,4,Yes,1,1,All the above,Scrolling option would be much better than going to next page,956949
2023/06/06 7:19:43 PM GMT+5:30,29,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,others,First page,4,Maybe,Never,others,Often,Yes,Occasionally,No,4,Yes,4,4,.,User interface of app,876679
2023/06/11 11:20:57 PM GMT+5:30,46,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,Keyword,First page,5,Maybe,Rarely,others,Often,Yes,Occasionally,Yes,3,Yes,3,2,Product recommendations,better app interface and lower shipping charges,838932
2023/06/06 7:46:27 PM GMT+5:30,58,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,2,Maybe,Never,Found a better price elsewhere,Always,No,Rarely,No,4,Sometimes,1,5,Quick delivery,I have no problem with Amazon yet. But others tell me about the refund issues ,451480
2023/06/06 6:39:26 PM GMT+5:30,56,Others,Less than once a month,Beauty and Personal Care,Sometimes,Multiple times a day,categories,First page,3,Maybe,Often,Changed my mind or no longer need the item,Always,No,Rarely,Sometimes,2,No,1,1,Competitive prices,Scrolling option would be much better than going to next page,168831
2023/06/06 7:40:11 PM GMT+5:30,59,Female,Once a month,others,Sometimes,Rarely,Filter,First page,5,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Yes,1,Yes,3,3,Competitive prices,Customer service responsiveness,637993
2023/06/04 7:13:12 PM GMT+5:30,37,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,categories,Multiple pages,2,No,Often,High shipping costs,Always,Yes,Occasionally,Yes,4,Yes,1,3,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,150709
2023/06/08 5:33:12 PM GMT+5:30,28,Others,Once a week,others,Sometimes,Few times a month,Filter,First page,3,Maybe,Never,Found a better price elsewhere,Often,Yes,Never,Yes,1,Sometimes,2,1,Customer service,Product quality and accuracy,928213
2023/06/06 6:37:19 PM GMT+5:30,8,Others,Few times a month,others,Yes,Multiple times a day,nan,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,4,Yes,1,1,Quick delivery,I don't have any problem with Amazon,896965
2023/06/08 5:46:49 PM GMT+5:30,34,Others,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,5,Maybe,Rarely,others,Sometimes,Yes,Rarely,No,4,No,5,3,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,556409
2023/06/11 11:02:55 PM GMT+5:30,19,Others,Once a week,Groceries and Gourmet Food,Sometimes,Few times a month,Filter,First page,5,No,Always,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,3,No,2,3,Customer service,better app interface and lower shipping charges,946186
2023/06/07 4:46:12 PM GMT+5:30,30,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,First page,5,Yes,Never,others,Never,No,Occasionally,Yes,2,Sometimes,4,5,Quick delivery,better app interface and lower shipping charges,683291
2023/06/06 3:02:38 PM GMT+5:30,37,Male,Multiple times a week,Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,No,Never,Changed my mind or no longer need the item,Never,Yes,Never,Sometimes,4,Sometimes,1,3,Competitive prices,User interface ,364986
2023/06/06 7:22:31 PM GMT+5:30,15,Male,Multiple times a week,Clothing and Fashion,Sometimes,Few times a week,others,Multiple pages,3,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,3,Sometimes,3,4,User-friendly website/app interface,User interface ,785612
