Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,age_group
2023/06/08 7:50:55 PM GMT+5:30,65,Other,less than once a month,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,No,Sometimes,4,4,Competitive prices,better app interface and lower shipping charges,778242,55+
2023/06/09 9:37:44 AM GMT+5:30,20,Male,once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,First page,3,No,Never,High shipping costs,Always,Yes,Heavily,Yes,Sometimes,4,5,Quick delivery,scrolling option would be much better than going to next page,193482,18-24
2023/06/11 11:26:54 PM GMT+5:30,42,Male,once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Keyword,Multiple pages,2,No,Rarely,Found a better price elsewhere,Often,Yes,Heavily,Sometimes,No,5,3,All the above,Unknown,925975,35-44
2023/06/08 5:17:10 PM GMT+5:30,65,Other,once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,2,Yes,Sometimes,others,Often,Yes,Occasionally,No,Yes,1,2,Quick delivery,quality of product is very poor according to the big offers,566872,55+
2023/06/11 10:59:30 PM GMT+5:30,45,Female,once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Unknown,First page,5,Maybe,Rarely,Changed my mind or no longer need the item,Never,Yes,Rarely,No,Yes,1,2,Quick delivery,irrelevant product suggestions,683642,45-54
2023/06/07 9:18:55 PM GMT+5:30,67,Other,few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Multiple times a day,Unknown,Multiple pages,3,No,Always,others,Never,No,Moderately,Sometimes,No,4,3,Product recommendations,nothing,461923,55+
2023/06/08 7:46:31 PM GMT+5:30,55,Female,few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a week,Keyword,First page,5,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Moderately,No,Yes,5,3,Customer service ,customer service responsiveness,521643,55+
2023/06/06 7:02:21 PM GMT+5:30,44,Other,few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Unknown,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,Sometimes,5,1,Customer service ,i have no problem with amazon yet. but others tell me about the refund issues,155589,35-44
2023/06/07 11:07:55 PM GMT+5:30,33,Male,less than once a month,Beauty and Personal Care;others,Yes,Rarely,Unknown,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Sometimes,Sometimes,2,2,Competitive prices,quality of product is very poor according to the big offers,860726,25-34
2023/06/05 4:50:44 PM GMT+5:30,22,Other,few times a month,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Filter,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,Yes,1,3,All the above,i don't have any problem with amazon,745946,18-24
2023/06/06 6:38:03 PM GMT+5:30,28,Female,once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,others,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,Yes,4,5,All the above,User Interface,882918,25-34
2023/06/08 5:38:01 PM GMT+5:30,44,Other,multiple times a week,Groceries and Gourmet Food,Sometimes,Multiple times a day,Keyword,First page,5,Yes,Always,others,Often,Yes,Occasionally,Yes,Yes,4,3,User-friendly website/app interface,shipping speed and reliability,911442,35-44
2023/06/05 8:07:52 PM GMT+5:30,24,Male,once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Filter,First page,4,No,Always,others,Rarely,Yes,Moderately,Yes,Yes,5,3,Competitive prices,add more familiar brands to the list,403975,18-24
2023/06/07 5:58:12 PM GMT+5:30,23,Male,once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,First page,5,Maybe,Always,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,Sometimes,5,1,Wide product selection,i have no problem with amazon yet. but others tell me about the refund issues,681181,18-24
2023/06/08 5:43:45 PM GMT+5:30,58,Other,once a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,First page,5,Maybe,Never,High shipping costs,Often,Yes,Never,Yes,No,3,1,Quick delivery,shipping speed and reliability,921065,55+
2023/06/05 1:37:01 PM GMT+5:30,40,Male,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple times a day,Keyword,First page,3,No,Never,Found a better price elsewhere,Never,No,Never,No,No,2,2,Customer service ,quality of product is very poor according to the big offers,335642,35-44
2023/06/07 12:44:27 PM GMT+5:30,46,Other,once a week,Groceries and Gourmet Food,Yes,Rarely,categories,First page,2,Yes,Always,High shipping costs,Sometimes,No,Rarely,Sometimes,Sometimes,5,2,Wide product selection,User Interface,348266,45-54
2023/06/08 5:48:55 PM GMT+5:30,15,Other,once a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,2,Maybe,Often,others,Often,Yes,Never,No,Yes,2,2,Quick delivery,reducing packaging waste,661105,18-24
2023/06/09 3:17:31 PM GMT+5:30,41,Female,less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,categories,First page,4,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Never,Sometimes,Sometimes,4,2,All the above,Unknown,498142,35-44
2023/06/06 7:08:47 PM GMT+5:30,28,Other,once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,Keyword,First page,5,Yes,Sometimes,High shipping costs,Sometimes,No,Moderately,Sometimes,Yes,5,2,All the above,nothing,908063,25-34
2023/06/12 3:27:59 PM GMT+5:30,47,Other,few times a month,others,Sometimes,Rarely,Unknown,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,No,5,2,Competitive prices,User Interface,759344,45-54
